Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17	TaskObject#18	TaskObject#19	TaskObject#20	TaskObject#21
11	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_94.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_133.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_44.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_196.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_81.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_161.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_61.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_103.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_41.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_143.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_65.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_101.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_71.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_125.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_28.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_104.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_36.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_119.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_69.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_106.png,-4.00,-4.00,720.78,720.78)
12	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_96.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_136.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_18.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_190.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_91.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_176.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_24.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_158.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_16.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_120.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_80.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_110.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_11.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_169.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_35.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_199.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_17.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_135.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_19.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_160.png,-4.00,-4.00,720.78,720.78)
13	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_14.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_121.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_54.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_157.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_49.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_200.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_92.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_165.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_29.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_173.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_66.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_138.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_32.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_178.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_42.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_181.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_37.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_194.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_12.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_184.png,-4.00,-4.00,720.78,720.78)
14	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_21.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_145.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_38.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_182.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_78.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_131.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_67.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_151.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_05.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_198.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_59.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_140.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_02.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_188.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_58.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_166.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_30.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_137.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_39.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_172.png,-4.00,-4.00,720.78,720.78)
15	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_23.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_179.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_20.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_122.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_27.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_126.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_50.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_128.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_13.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_149.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_100.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_146.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_84.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_197.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_47.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_174.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_55.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_132.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_95.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_117.png,-4.00,-4.00,720.78,720.78)
16	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_73.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_116.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_83.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_167.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_99.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_175.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_40.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_139.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_53.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_112.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_04.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_105.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_52.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_127.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_08.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_154.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_90.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_147.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_48.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_162.png,-4.00,-4.00,720.78,720.78)
17	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_10.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_180.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_31.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_189.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_33.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_177.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_86.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_195.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_87.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_183.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_09.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_130.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_56.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_171.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_01.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_114.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_72.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_129.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_57.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_111.png,-4.00,-4.00,720.78,720.78)
18	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_68.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_153.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_79.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_156.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_34.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_164.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_98.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_102.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_75.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_155.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_70.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_152.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_46.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_109.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_82.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_187.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_74.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_144.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_64.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_115.png,-4.00,-4.00,720.78,720.78)
19	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_43.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_124.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_89.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_108.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_03.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_193.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_15.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_107.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_88.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_185.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_07.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_118.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_62.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_123.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_93.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_170.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_77.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_192.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_76.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_163.png,-4.00,-4.00,720.78,720.78)
20	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_85.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_191.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_25.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_142.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_63.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_148.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_22.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_141.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_45.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_113.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_06.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_168.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_51.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_186.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_97.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_150.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_26.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_134.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_60.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_159.png,-4.00,-4.00,720.78,720.78)
21	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_52.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_156.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_48.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_145.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_08.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_200.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_60.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_120.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_40.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_192.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_09.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_132.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_23.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_118.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_75.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_119.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_02.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_193.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_19.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_106.png,-4.00,-4.00,720.78,720.78)
22	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_88.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_194.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_64.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_130.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_25.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_199.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_61.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_142.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_73.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_184.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_67.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_178.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_85.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_197.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_42.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_129.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_87.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_160.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_35.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_185.png,-4.00,-4.00,720.78,720.78)
23	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_69.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_170.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_41.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_117.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_99.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_147.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_24.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_144.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_71.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_104.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_26.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_159.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_74.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_105.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_37.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_190.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_10.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_173.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_57.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_157.png,-4.00,-4.00,720.78,720.78)
24	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_18.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_141.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_65.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_150.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_45.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_123.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_94.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_169.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_50.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_164.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_13.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_137.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_96.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_152.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_01.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_166.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_22.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_121.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_54.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_186.png,-4.00,-4.00,720.78,720.78)
25	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_79.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_158.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_27.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_162.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_90.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_175.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_29.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_155.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_91.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_148.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_55.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_122.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_53.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_109.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_04.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_136.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_59.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_198.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_63.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_196.png,-4.00,-4.00,720.78,720.78)
26	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_31.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_181.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_28.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_140.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_11.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_115.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_17.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_133.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_78.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_134.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_76.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_191.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_03.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_102.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_49.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_113.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_89.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_111.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_66.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_101.png,-4.00,-4.00,720.78,720.78)
27	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_20.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_143.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_100.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_183.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_83.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_125.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_33.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_110.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_07.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_108.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_80.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_112.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_81.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_174.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_12.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_138.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_92.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_195.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_95.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_153.png,-4.00,-4.00,720.78,720.78)
28	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_43.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_149.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_38.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_131.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_47.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_154.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_36.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_114.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_82.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_151.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_77.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_139.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_39.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_187.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_05.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_146.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_06.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_168.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_86.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_124.png,-4.00,-4.00,720.78,720.78)
29	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_15.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_177.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_62.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_165.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_68.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_126.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_72.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_189.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_56.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_171.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_93.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_167.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_21.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_161.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_46.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_188.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_58.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_176.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_14.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_135.png,-4.00,-4.00,720.78,720.78)
30	1	1	stimulus_show20img	fix(0.00,0.00)	pic(rf_10X10_98.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_179.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_97.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_103.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_44.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_182.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_30.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_163.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_51.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_127.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_70.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_107.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_32.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_172.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_84.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_128.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_34.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_180.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_16.png,-4.00,-4.00,720.78,720.78)	pic(rf_10X10_116.png,-4.00,-4.00,720.78,720.78)
